Age,Gender,Income,Location,Ad Type,Ad Topic,Ad Placement,Clicks,Click Time,Conversion Rate,CTR
20,Female,29761.69,Urban,Video,Fashion,Search Engine,2,2023-06-30 20:45:56.903401,0.1329,0.0438
37,Male,46266.92,Urban,Banner,Travel,Social Media,6,2024-04-11 20:45:56.903401,0.1883,0.0656
54,Male,66439.91,Urban,Video,Food,Social Media,1,2024-03-04 20:45:56.903401,0.0847,0.0756
34,Male,55252.68,Urban,Banner,Food,Social Media,5,2023-10-08 20:45:56.903401,0.1418,0.0418
25,Male,48965.23,Urban,Native,Fashion,Website,1,2023-09-28 20:45:56.903401,0.269,0.0878
41,Male,71935.35,Rural,Banner,Travel,Search Engine,5,2024-02-29 20:45:56.903401,0.2455,0.0298
64,Male,59263.93,Urban,Banner,Food,Search Engine,6,2023-06-04 20:45:56.903401,0.2138,0.06
13,Male,4472.85,Suburban,Banner,Food,Search Engine,4,2023-09-26 20:45:56.903401,0.2815,0.0562
40,Male,31988.47,Suburban,Video,Technology,Search Engine,8,2023-10-10 20:45:56.903401,0.3029,0.046
38,Female,59005.86,Suburban,Video,Technology,Search Engine,5,2023-05-28 20:45:56.903401,0.0238,0.0791
52,Female,75351.1,Urban,Video,Food,Social Media,8,2023-07-22 20:45:56.903401,0.2453,0.0372
49,Female,78058.05,Urban,Video,Fashion,Search Engine,6,2023-07-15 20:45:56.903401,0.199,0.0559
32,Male,50820.39,Suburban,Banner,Fashion,Website,4,2024-03-18 20:45:56.903401,0.1418,0.0493
9,Female,59227.0,Urban,Text,Food,Website,2,2023-11-30 20:45:56.903401,0.0524,0.08
47,Female,67653.29,Suburban,Native,Food,Social Media,4,2023-05-17 20:45:56.903401,0.2391,0.0327
22,Male,13627.42,Urban,Banner,Travel,Search Engine,2,2024-02-11 20:45:56.903401,0.2788,0.0785
20,Female,35642.76,Urban,Banner,Technology,Social Media,4,2024-03-24 20:45:56.903401,0.1832,0.0872
52,Female,47584.88,Urban,Video,Health,Website,3,2023-09-07 20:45:56.903401,0.2486,0.0399
21,Male,79535.41,Urban,Text,Finance,Search Engine,4,2024-03-15 20:45:56.903401,0.0827,0.0526
56,Male,48488.37,Urban,Video,Health,Social Media,11,2023-05-17 20:45:56.903401,0.1568,0.0639
40,Male,65377.73,Urban,Banner,Travel,Website,4,2023-07-01 20:45:56.903401,0.2121,0.0769
39,Male,59620.9,Suburban,Video,Technology,Search Engine,9,2024-01-14 20:45:56.903401,0.2319,0.0434
39,Other,63893.49,Rural,Banner,Fashion,Website,3,2023-10-02 20:45:56.903401,0.1964,0.0531
10,Other,18190.79,Urban,Native,Food,Search Engine,6,2024-04-19 20:45:56.903401,0.1765,0.0796
8,Female,34615.77,Suburban,Text,Technology,Search Engine,3,2024-03-28 20:45:56.903401,0.1751,0.0486
38,Male,20338.69,Rural,Text,Health,Social Media,6,2024-01-13 20:45:56.903401,0.3914,0.0365
43,Female,-1625.12,Urban,Video,Technology,Website,5,2023-11-12 20:45:56.903401,0.1786,0.0803
36,Male,30864.04,Suburban,Native,Travel,Search Engine,7,2023-08-13 20:45:56.903401,0.1183,0.0578
22,Male,20359.26,Urban,Banner,Food,Social Media,3,2023-07-21 20:45:56.903401,0.2619,0.0071
35,Female,37050.93,Rural,Text,Travel,Search Engine,6,2023-06-19 20:45:56.903401,0.0245,0.0643
33,Male,40158.07,Suburban,Video,Travel,Website,4,2023-06-23 20:45:56.903401,0.404,0.0482
20,Male,63334.12,Suburban,Native,Fashion,Search Engine,4,2023-09-02 20:45:56.903401,0.2496,0.0441
50,Other,49130.73,Urban,Video,Health,Social Media,4,2023-09-14 20:45:56.903401,0.1124,0.0544
9,Male,40019.15,Urban,Native,Fashion,Website,3,2023-10-09 20:45:56.903401,0.6151,0.0737
43,Male,71985.2,Urban,Banner,Health,Social Media,4,2023-08-13 20:45:56.903401,0.1424,0.0616
40,Male,65050.58,Suburban,Native,Technology,Social Media,3,2023-08-04 20:45:56.903401,0.1176,0.0372
50,Other,17935.56,Rural,Video,Food,Search Engine,4,2024-01-14 20:45:56.903401,0.1843,0.0598
19,Male,61162.4,Rural,Video,Food,Website,4,2023-06-04 20:45:56.903401,0.1474,0.0231
36,Male,76152.58,Suburban,Text,Fashion,Social Media,8,2024-01-04 20:45:56.903401,0.4016,0.0355
67,Female,17456.17,Suburban,Text,Fashion,Search Engine,6,2023-10-20 20:45:56.903401,0.1314,0.0376
44,Female,30230.29,Rural,Video,Travel,Website,7,2024-02-13 20:45:56.903401,0.1236,0.0573
36,Female,42404.34,Urban,Video,Fashion,Search Engine,9,2023-11-04 20:45:56.903401,0.2339,0.074
43,Male,22052.18,Rural,Native,Food,Website,9,2024-01-06 20:45:56.903401,0.1909,0.0764
36,Male,42769.95,Urban,Video,Travel,Search Engine,6,2024-03-07 20:45:56.903401,0.1343,0.0506
67,Male,11891.82,Urban,Video,Travel,Search Engine,5,2023-06-24 20:45:56.903401,0.2681,0.0399
49,Female,24098.61,Rural,Native,Food,Social Media,6,2023-08-07 20:45:56.903401,0.1344,0.0242
33,Male,44871.17,Suburban,Banner,Food,Social Media,7,2023-06-10 20:45:56.903401,0.3351,0.0368
38,Female,40665.4,Suburban,Video,Health,Search Engine,2,2024-03-12 20:45:56.903401,0.1261,0.0882
29,Male,24082.21,Rural,Text,Fashion,Search Engine,0,2023-10-03 20:45:56.903401,0.0522,0.0334
53,Female,38940.87,Urban,Banner,Health,Search Engine,8,2024-01-18 20:45:56.904436,0.2303,0.0
13,Female,51016.2,Rural,Banner,Health,Search Engine,3,2023-10-05 20:45:56.904436,0.0607,0.0529
10,Female,39422.49,Urban,Text,Food,Website,4,2024-04-08 20:45:56.904436,0.0987,0.0632
56,Male,35888.37,Rural,Text,Fashion,Search Engine,5,2024-01-17 20:45:56.904436,0.0946,0.0232
67,Male,74227.2,Urban,Video,Food,Search Engine,10,2023-12-20 20:45:56.904436,0.1318,0.063
42,Female,57886.22,Urban,Video,Health,Website,3,2023-09-21 20:45:56.904436,0.4081,0.044
36,Male,54774.57,Rural,Banner,Technology,Website,7,2023-04-22 20:45:56.904436,0.0875,0.0278
44,Male,25250.36,Rural,Text,Technology,Search Engine,9,2023-09-26 20:45:56.904436,0.3138,0.0429
25,Other,55403.63,Suburban,Text,Finance,Search Engine,4,2023-05-13 20:45:56.904436,0.3967,0.0612
37,Female,42042.58,Suburban,Banner,Fashion,Social Media,5,2023-11-13 20:45:56.904436,0.3277,0.0586
35,Female,26855.19,Rural,Video,Travel,Social Media,8,2024-04-13 20:45:56.904436,0.139,0.0524
44,Male,111757.88,Rural,Text,Technology,Search Engine,8,2023-09-22 20:45:56.904436,0.2026,0.0456
11,Female,66029.06,Urban,Banner,Finance,Social Media,3,2024-03-26 20:45:56.904436,0.1186,0.0474
27,Male,86915.35,Rural,Text,Health,Search Engine,4,2023-09-19 20:45:56.904436,0.1893,0.0071
47,Male,48621.82,Rural,Native,Finance,Social Media,7,2024-04-10 20:45:56.904436,0.2441,0.0664
24,Male,68388.4,Suburban,Text,Fashion,Social Media,6,2023-07-25 20:45:56.904436,0.3074,0.0974
20,Male,95234.35,Urban,Text,Finance,Search Engine,9,2023-08-30 20:45:56.904436,0.1367,0.0
65,Male,62997.23,Suburban,Native,Health,Search Engine,3,2023-05-17 20:45:56.904436,0.1809,0.0444
35,Female,34969.99,Rural,Video,Technology,Social Media,8,2023-09-15 20:45:56.904436,0.2505,0.03
26,Female,29594.25,Urban,Text,Food,Social Media,4,2023-09-25 20:45:56.904436,0.2089,0.0452
9,Female,42924.72,Rural,Native,Travel,Website,12,2023-09-14 20:45:56.904436,0.3624,0.0063
45,Male,57665.99,Suburban,Text,Health,Website,2,2024-01-12 20:45:56.904436,0.0562,0.067
45,Female,117209.17,Suburban,Video,Technology,Search Engine,8,2023-05-24 20:45:56.904436,0.1353,0.0203
30,Male,70143.48,Urban,Banner,Technology,Website,5,2023-12-02 20:45:56.904436,0.1895,0.0517
18,Male,26128.36,Rural,Banner,Health,Website,4,2023-10-03 20:45:56.904436,0.1497,0.0192
34,Male,55352.97,Suburban,Banner,Food,Social Media,2,2023-07-13 20:45:56.904436,0.0699,0.0639
22,Male,56188.8,Rural,Banner,Finance,Website,4,2024-03-19 20:45:56.904436,0.2196,0.0933
20,Male,74173.79,Rural,Native,Fashion,Social Media,3,2023-07-19 20:45:56.904436,0.103,0.0473
33,Male,24266.69,Rural,Text,Technology,Social Media,5,2023-06-05 20:45:56.904436,0.2423,0.053
19,Male,64336.16,Suburban,Text,Fashion,Search Engine,7,2023-09-15 20:45:56.904436,0.6061,0.0309
38,Other,54724.87,Suburban,Native,Food,Website,8,2023-08-13 20:45:56.904436,0.2386,0.0659
44,Female,38469.44,Rural,Video,Finance,Website,5,2023-09-30 20:45:56.904436,0.1466,0.0683
22,Male,65079.22,Rural,Video,Finance,Social Media,3,2023-11-22 20:45:56.904436,0.4807,0.058
14,Female,74325.01,Suburban,Banner,Technology,Social Media,7,2023-12-01 20:45:56.904436,0.4482,0.0463
58,Male,55941.44,Urban,Native,Travel,Search Engine,5,2023-07-12 20:45:56.904436,0.2447,0.0399
20,Male,24818.6,Rural,Native,Health,Social Media,4,2023-12-25 20:45:56.904436,0.3189,0.0351
25,Female,27389.67,Urban,Banner,Fashion,Website,3,2024-01-18 20:45:56.904436,0.2978,0.0223
38,Male,62177.27,Rural,Text,Food,Search Engine,4,2023-08-12 20:45:56.904436,0.2037,0.0393
43,Female,58571.52,Urban,Video,Health,Website,4,2023-10-28 20:45:56.904436,0.1646,0.0575
31,Male,67580.85,Rural,Text,Travel,Search Engine,3,2023-10-03 20:45:56.904436,0.2035,0.0206
41,Male,70595.2,Urban,Native,Travel,Search Engine,6,2023-07-06 20:45:56.904436,0.1481,0.0325
28,Male,49699.47,Suburban,Native,Food,Search Engine,8,2023-10-21 20:45:56.904436,0.3226,0.0618
20,Male,61345.04,Rural,Banner,Finance,Search Engine,6,2024-03-17 20:45:56.904436,0.1307,0.0408
56,Female,89887.47,Suburban,Native,Travel,Website,8,2023-09-06 20:45:56.904436,0.3689,0.0585
72,Male,44191.6,Suburban,Native,Finance,Social Media,7,2023-07-05 20:45:56.904436,0.1322,0.0671
60,Female,95758.17,Rural,Video,Travel,Search Engine,6,2023-07-05 20:45:56.904436,0.2889,0.0598
37,Male,36633.85,Suburban,Native,Health,Social Media,3,2023-07-16 20:45:56.904436,0.2211,0.0513
62,Female,31971.47,Urban,Text,Food,Search Engine,3,2023-08-06 20:45:56.904436,0.0475,0.0351
40,Other,72397.12,Suburban,Native,Health,Social Media,2,2023-11-01 20:45:56.904436,0.1179,0.0498
27,Female,42182.67,Suburban,Native,Food,Search Engine,2,2023-05-08 20:45:56.904436,0.0173,0.0452
41,Female,35761.8,Rural,Video,Food,Social Media,7,2023-12-29 20:45:56.904436,0.2849,0.0507
33,Male,46655.48,Suburban,Text,Finance,Social Media,3,2023-09-01 20:45:56.904436,0.1403,0.0515
20,Female,12456.58,Urban,Video,Technology,Website,10,2024-04-19 20:45:56.904436,0.1277,0.0805
21,Male,79670.29,Rural,Text,Finance,Social Media,1,2024-04-03 20:45:56.904436,0.3438,0.0596
47,Female,81133.39,Suburban,Text,Technology,Social Media,6,2024-03-29 20:45:56.904436,0.3204,0.0719
7,Female,39086.11,Urban,Text,Travel,Social Media,1,2024-04-01 20:45:56.904436,0.1471,0.0483
44,Female,42014.22,Suburban,Native,Finance,Social Media,6,2023-09-29 20:45:56.904436,0.1522,0.0048
10,Female,12847.64,Suburban,Banner,Technology,Search Engine,3,2023-10-06 20:45:56.904436,0.1564,0.0591
3,Male,48817.34,Rural,Text,Finance,Website,8,2023-05-03 20:45:56.904436,0.1437,0.0744
7,Other,73810.21,Urban,Video,Fashion,Search Engine,7,2024-02-22 20:45:56.904436,0.3295,0.0634
64,Female,34933.67,Urban,Banner,Fashion,Social Media,9,2023-04-25 20:45:56.904436,0.1556,0.046
32,Male,77294.85,Rural,Native,Health,Social Media,2,2023-10-18 20:45:56.904436,0.2573,0.074
36,Male,79821.87,Urban,Video,Finance,Search Engine,4,2023-07-26 20:45:56.904436,0.1272,0.0854
56,Female,32585.71,Rural,Native,Fashion,Search Engine,9,2023-09-02 20:45:56.904436,0.1832,0.0416
49,Male,25942.6,Suburban,Video,Finance,Social Media,4,2024-01-31 20:45:56.904436,0.2096,0.0661
14,Female,53894.63,Rural,Text,Technology,Social Media,2,2023-05-01 20:45:56.904436,0.3138,0.0154
48,Female,78777.28,Urban,Text,Finance,Social Media,4,2024-02-04 20:45:56.904436,0.1973,0.0356
37,Male,34010.24,Suburban,Native,Finance,Search Engine,9,2023-12-16 20:45:56.904436,0.1011,0.0219
29,Male,47560.03,Urban,Video,Travel,Search Engine,4,2024-02-01 20:45:56.904436,0.1441,0.0144
35,Male,76312.25,Urban,Native,Fashion,Website,2,2023-06-01 20:45:56.904436,0.1005,0.038
54,Male,58931.11,Suburban,Text,Food,Search Engine,5,2024-01-02 20:45:56.904436,0.2716,0.0305
21,Female,-6077.07,Rural,Banner,Health,Search Engine,7,2024-01-14 20:45:56.904436,0.2817,0.0873
41,Female,17341.01,Urban,Banner,Food,Social Media,2,2023-07-07 20:45:56.904436,0.3376,0.0399
34,Male,59860.78,Urban,Native,Technology,Website,6,2023-07-18 20:45:56.904436,0.4889,0.0649
8,Male,73779.38,Urban,Text,Travel,Social Media,6,2023-12-03 20:45:56.904436,0.1683,0.0632
22,Male,69104.54,Urban,Video,Travel,Search Engine,4,2023-04-26 20:45:56.904436,0.0918,0.0407
37,Male,33878.53,Rural,Native,Health,Social Media,2,2023-12-16 20:45:56.904436,0.3813,0.0579
54,Male,25457.52,Urban,Native,Food,Website,5,2023-11-23 20:45:56.904436,0.0953,0.0572
50,Male,81632.3,Suburban,Banner,Travel,Search Engine,6,2024-01-15 20:45:56.904436,0.1909,0.0303
43,Male,71436.16,Rural,Video,Fashion,Website,4,2024-01-01 20:45:56.904436,0.1261,0.0734
22,Female,51690.1,Rural,Native,Technology,Search Engine,5,2023-09-30 20:45:56.904436,0.1355,0.0484
62,Female,70635.79,Urban,Native,Finance,Website,8,2023-05-06 20:45:56.904436,0.1079,0.0425
38,Male,56864.89,Rural,Text,Technology,Search Engine,6,2024-01-18 20:45:56.904436,0.0753,0.0796
19,Male,59103.2,Urban,Video,Fashion,Search Engine,7,2023-10-27 20:45:56.904436,0.3126,0.0656
32,Male,55832.22,Suburban,Native,Food,Website,6,2023-06-12 20:45:56.904436,0.2497,0.0636
48,Female,25878.44,Urban,Text,Food,Website,4,2024-04-09 20:45:56.904436,0.0994,0.0546
35,Male,27190.69,Rural,Text,Health,Social Media,3,2024-04-13 20:45:56.904436,0.1499,0.0606
48,Male,52650.23,Rural,Video,Food,Social Media,4,2023-11-18 20:45:56.904436,0.4457,0.0368
51,Female,26938.27,Urban,Text,Travel,Search Engine,3,2023-12-31 20:45:56.904436,0.0847,0.0347
41,Female,78873.65,Urban,Banner,Finance,Social Media,5,2023-12-30 20:45:56.904436,0.112,0.0503
22,Male,76056.66,Rural,Native,Travel,Search Engine,5,2023-11-06 20:45:56.904436,0.3414,0.0961
37,Other,59549.26,Suburban,Banner,Health,Website,9,2023-07-02 20:45:56.904436,0.2185,0.0504
35,Male,5490.22,Suburban,Banner,Finance,Search Engine,6,2023-08-09 20:45:56.904436,0.0978,0.0811
62,Male,41494.05,Rural,Banner,Food,Search Engine,8,2023-09-18 20:45:56.904436,0.1001,0.055
10,Male,42204.26,Rural,Video,Travel,Social Media,4,2024-03-14 20:45:56.904436,0.2329,0.0709
32,Female,56750.15,Suburban,Native,Food,Search Engine,3,2023-10-03 20:45:56.904436,0.1676,0.0669
26,Female,66733.58,Rural,Video,Travel,Social Media,4,2023-12-26 20:45:56.904436,0.4297,0.0688
40,Other,19633.64,Suburban,Video,Health,Search Engine,5,2023-05-25 20:45:56.904436,0.2341,0.0231
-1,Female,42115.21,Suburban,Banner,Travel,Search Engine,6,2024-03-14 20:45:56.904436,0.2421,0.0455
51,Other,56836.3,Urban,Banner,Travel,Social Media,2,2023-10-06 20:45:56.904436,0.1077,0.0359
35,Female,30200.58,Rural,Text,Fashion,Search Engine,3,2023-07-30 20:45:56.904436,0.142,0.0609
7,Male,84675.87,Suburban,Banner,Food,Website,5,2023-07-11 20:45:56.904436,0.201,0.0564
29,Other,37287.36,Suburban,Text,Finance,Search Engine,3,2023-08-12 20:45:56.904436,0.0957,0.0622
44,Male,20854.07,Urban,Video,Food,Social Media,0,2024-04-02 20:45:56.904436,0.2068,0.0537
11,Male,72140.73,Suburban,Banner,Technology,Website,2,2024-03-05 20:45:56.904436,0.3097,0.04
35,Female,42391.56,Rural,Video,Health,Website,3,2024-04-01 20:45:56.904436,0.1614,0.068
19,Female,74351.95,Suburban,Video,Food,Search Engine,5,2024-04-18 20:45:56.904436,0.1011,0.0781
26,Male,52636.56,Suburban,Video,Fashion,Website,10,2023-06-04 20:45:56.904436,0.0766,0.0212
35,Female,56455.14,Rural,Video,Travel,Social Media,4,2023-11-28 20:45:56.904436,0.0525,0.0712
37,Male,43613.89,Rural,Text,Technology,Search Engine,3,2023-08-04 20:45:56.904436,0.0464,0.0454
27,Female,72413.13,Suburban,Video,Technology,Social Media,3,2024-02-05 20:45:56.904436,0.3492,0.0344
39,Male,30435.29,Rural,Text,Finance,Search Engine,3,2024-01-27 20:45:56.904436,0.1096,0.0277
47,Other,100940.38,Rural,Banner,Fashion,Social Media,5,2023-10-05 20:45:56.904436,0.1082,0.0472
30,Male,49454.57,Rural,Video,Travel,Search Engine,4,2023-07-03 20:45:56.904436,0.2573,0.063
56,Male,76848.87,Urban,Native,Health,Social Media,6,2023-08-15 20:45:56.904436,0.0528,0.0772
56,Male,77312.65,Rural,Native,Food,Social Media,4,2024-02-07 20:45:56.904436,0.3425,0.0039
28,Male,53860.74,Rural,Banner,Health,Search Engine,7,2024-03-02 20:45:56.904436,0.1439,0.0513
25,Male,59265.52,Rural,Text,Travel,Social Media,9,2023-07-21 20:45:56.904436,0.1013,0.0267
10,Female,17642.36,Suburban,Native,Health,Search Engine,3,2024-02-28 20:45:56.904436,0.1855,0.0435
33,Male,60729.46,Suburban,Native,Travel,Social Media,5,2024-03-07 20:45:56.904436,0.3607,0.0378
29,Female,39640.02,Urban,Video,Finance,Search Engine,6,2023-06-28 20:45:56.904436,0.1027,0.0708
46,Male,66579.15,Suburban,Video,Health,Website,3,2023-08-26 20:45:56.904436,0.1553,0.0505
12,Female,4343.16,Urban,Video,Finance,Search Engine,8,2023-09-24 20:45:56.904436,0.1622,0.0351
30,Male,35583.82,Urban,Video,Technology,Social Media,3,2024-02-02 20:45:56.904436,0.161,0.0573
49,Female,60140.53,Rural,Banner,Finance,Search Engine,3,2023-09-01 20:45:56.904436,0.0788,0.019
24,Male,50373.03,Urban,Text,Finance,Website,6,2023-11-02 20:45:56.904436,0.1148,0.0386
23,Female,50616.3,Urban,Banner,Fashion,Search Engine,5,2024-01-31 20:45:56.904436,0.2428,0.0331
13,Female,38052.89,Rural,Video,Fashion,Website,2,2023-12-27 20:45:56.904436,0.1962,0.0413
74,Male,42973.6,Urban,Video,Fashion,Social Media,8,2024-02-08 20:45:56.904436,0.2291,0.0615
23,Male,44440.21,Urban,Text,Finance,Search Engine,9,2023-11-12 20:45:56.904436,0.0597,0.0396
15,Male,114741.67,Urban,Video,Technology,Search Engine,2,2024-04-15 20:45:56.904436,0.1201,0.0442
22,Male,50211.19,Rural,Native,Health,Website,6,2023-12-05 20:45:56.904436,0.1519,0.033
23,Female,28485.92,Rural,Text,Food,Search Engine,7,2023-11-30 20:45:56.904436,0.2301,0.0554
30,Male,69700.92,Rural,Banner,Fashion,Social Media,1,2023-08-10 20:45:56.904436,0.1234,0.042
47,Male,49199.41,Suburban,Video,Fashion,Search Engine,2,2023-10-05 20:45:56.904436,0.1506,0.0399
30,Male,44916.51,Rural,Video,Food,Social Media,7,2023-08-02 20:45:56.904436,0.427,0.0203
21,Female,54894.66,Rural,Text,Finance,Social Media,4,2023-10-17 20:45:56.904436,0.2096,0.06
13,Male,47778.11,Rural,Banner,Food,Social Media,7,2023-12-07 20:45:56.904436,0.3978,0.0567
35,Female,77591.28,Urban,Video,Finance,Search Engine,9,2024-04-18 20:45:56.904436,0.118,0.0629
35,Male,45400.39,Urban,Text,Technology,Social Media,5,2023-11-17 20:45:56.904436,0.111,0.0941
57,Male,70012.45,Suburban,Text,Fashion,Social Media,4,2023-11-04 20:45:56.904436,0.1393,0.0399
36,Male,60544.46,Urban,Text,Fashion,Search Engine,3,2023-11-14 20:45:56.904436,0.2849,0.0692
33,Female,67810.31,Urban,Banner,Technology,Website,3,2024-04-04 20:45:56.904436,0.3934,0.0345
19,Female,91745.9,Rural,Text,Technology,Social Media,7,2024-04-11 20:45:56.904436,0.0922,0.0329
30,Female,63065.38,Suburban,Banner,Fashion,Social Media,2,2024-01-06 20:45:56.904436,0.0972,0.0307
28,Female,42473.65,Rural,Video,Fashion,Website,4,2024-03-05 20:45:56.904436,0.2719,0.0865
29,Male,63563.75,Rural,Native,Fashion,Search Engine,3,2023-05-12 20:45:56.904436,0.3604,0.0725
20,Female,57313.69,Suburban,Video,Health,Search Engine,4,2023-10-31 20:45:56.904436,0.2984,0.0676
43,Male,68613.48,Suburban,Native,Finance,Social Media,3,2023-10-29 20:45:56.904436,0.1725,0.0688
32,Male,54833.97,Rural,Banner,Technology,Social Media,5,2023-10-10 20:45:56.904436,0.2751,0.031
31,Male,42690.12,Suburban,Video,Travel,Search Engine,2,2024-01-29 20:45:56.904436,0.0907,0.0401
9,Other,87150.75,Rural,Native,Finance,Social Media,3,2023-08-05 20:45:56.904436,0.1018,0.0874
42,Female,52655.64,Suburban,Banner,Travel,Social Media,4,2024-01-19 20:45:56.904436,0.046,0.042
42,Male,78276.64,Urban,Video,Travel,Website,5,2024-02-01 20:45:56.904436,0.0282,0.0652
22,Other,35250.26,Urban,Native,Food,Social Media,4,2024-03-08 20:45:56.904436,0.4439,0.0319
49,Other,37574.61,Suburban,Video,Technology,Search Engine,4,2024-02-13 20:45:56.904436,0.1168,0.0579
14,Other,27929.51,Suburban,Video,Finance,Search Engine,4,2023-12-05 20:45:56.904436,0.2411,0.0724
34,Male,14281.61,Suburban,Video,Travel,Website,4,2023-11-08 20:45:56.904436,0.463,0.0616
30,Male,43526.47,Suburban,Native,Fashion,Website,7,2024-03-07 20:45:56.904436,0.1389,0.0323
15,Female,55595.01,Rural,Video,Fashion,Website,4,2023-11-10 20:45:56.904436,0.1827,0.038
37,Male,15746.76,Suburban,Video,Food,Search Engine,4,2023-06-15 20:45:56.904436,0.4097,0.0618
60,Female,57499.6,Suburban,Banner,Travel,Search Engine,7,2023-10-04 20:45:56.904436,0.1842,0.0548
36,Male,42723.46,Urban,Video,Finance,Website,6,2024-01-31 20:45:56.904436,0.2155,0.0314
28,Male,45336.41,Suburban,Banner,Health,Search Engine,5,2023-09-22 20:45:56.904436,0.3511,0.0478
41,Other,59800.94,Rural,Native,Fashion,Website,6,2023-05-01 20:45:56.904436,0.0958,0.0646
36,Male,46762.58,Suburban,Native,Fashion,Website,4,2023-08-09 20:45:56.904436,0.1719,0.034
35,Female,20985.85,Rural,Video,Fashion,Search Engine,1,2023-07-30 20:45:56.904436,0.2112,0.0979
28,Male,58126.37,Urban,Video,Technology,Social Media,4,2023-12-17 20:45:56.904436,0.3417,0.0483
56,Female,47919.38,Urban,Banner,Travel,Social Media,6,2023-07-19 20:45:56.904436,0.4156,0.0315
41,Female,65932.06,Suburban,Native,Health,Search Engine,8,2023-12-20 20:45:56.904436,0.1205,0.0593
27,Other,43382.18,Suburban,Banner,Food,Website,8,2023-05-07 20:45:56.904436,0.2459,0.0177
33,Female,91080.22,Suburban,Banner,Fashion,Search Engine,6,2023-12-24 20:45:56.904436,0.1409,0.0394
23,Male,33626.66,Rural,Native,Health,Website,8,2023-08-07 20:45:56.904436,0.0958,0.0309
25,Male,51902.76,Rural,Video,Finance,Search Engine,3,2023-09-29 20:45:56.904436,0.2103,0.083
25,Male,56322.37,Urban,Video,Fashion,Social Media,8,2023-08-15 20:45:56.904436,0.451,0.0604
17,Male,56474.13,Urban,Native,Fashion,Search Engine,6,2023-10-09 20:45:56.904436,0.1488,0.0389
46,Female,44058.53,Suburban,Native,Finance,Website,6,2023-08-26 20:45:56.904436,0.1776,0.0236
30,Male,51666.14,Rural,Banner,Travel,Social Media,3,2023-08-01 20:45:56.904436,0.2554,0.0607
43,Male,80334.59,Suburban,Text,Travel,Website,0,2023-05-05 20:45:56.904436,0.4291,0.0812
24,Male,60657.53,Urban,Text,Fashion,Social Media,5,2024-04-17 20:45:56.904436,0.098,0.0259
34,Male,56056.97,Urban,Video,Health,Search Engine,5,2023-11-26 20:45:56.904436,0.2071,0.0563
24,Female,21586.89,Rural,Text,Finance,Search Engine,4,2023-08-16 20:45:56.904436,0.0385,0.0624
45,Female,41340.52,Rural,Native,Fashion,Search Engine,2,2023-07-09 20:45:56.904436,0.1088,0.058
31,Female,77295.77,Suburban,Banner,Travel,Social Media,6,2023-06-28 20:45:56.904436,0.4106,0.061
24,Male,49603.53,Urban,Native,Travel,Website,7,2023-07-25 20:45:56.904436,0.0264,0.048
10,Female,72408.93,Urban,Video,Technology,Search Engine,3,2023-06-28 20:45:56.904436,0.2683,0.0577
39,Other,1303.99,Suburban,Native,Food,Website,10,2023-12-20 20:45:56.904436,0.5221,0.046
24,Female,62732.35,Suburban,Banner,Travel,Social Media,6,2023-10-28 20:45:56.904436,0.3399,0.0493
34,Male,42871.07,Rural,Banner,Travel,Search Engine,3,2023-11-20 20:45:56.904436,0.1111,0.0485
27,Other,62279.97,Rural,Native,Fashion,Website,1,2023-12-17 20:45:56.904436,0.2845,0.0649
49,Female,51810.85,Suburban,Banner,Technology,Website,7,2024-03-14 20:45:56.904436,0.2496,0.0684
43,Male,49024.72,Suburban,Banner,Fashion,Social Media,4,2024-04-16 20:45:56.904436,0.2186,0.0333
41,Other,35928.47,Urban,Native,Fashion,Website,10,2024-02-24 20:45:56.904436,0.1269,0.0447
25,Female,56982.27,Suburban,Native,Fashion,Social Media,4,2023-12-01 20:45:56.904436,0.1183,0.0205
41,Male,16303.18,Urban,Banner,Technology,Search Engine,8,2023-04-22 20:45:56.904436,0.3587,0.0632
60,Male,54714.57,Rural,Text,Health,Search Engine,8,2024-03-08 20:45:56.904436,0.1519,0.0485
22,Female,73434.72,Suburban,Video,Finance,Search Engine,6,2023-04-28 20:45:56.904436,0.2478,0.0329
37,Other,33037.15,Suburban,Banner,Technology,Website,1,2023-09-30 20:45:56.904436,0.2106,0.0507
10,Male,45609.95,Suburban,Native,Food,Search Engine,4,2023-09-23 20:45:56.904436,0.1894,0.0528
55,Male,56373.78,Rural,Banner,Fashion,Website,8,2024-01-15 20:45:56.904436,0.1529,0.0366
29,Male,55482.15,Rural,Native,Technology,Website,6,2023-06-15 20:45:56.904436,0.0971,0.0491
46,Male,57458.23,Urban,Text,Travel,Social Media,8,2024-03-04 20:45:56.904436,0.1014,0.0499
9,Male,55430.8,Rural,Banner,Health,Social Media,0,2023-05-06 20:45:56.904436,0.1704,0.0532
61,Female,41083.13,Urban,Native,Food,Search Engine,4,2023-08-12 20:45:56.904436,0.2869,0.0626
29,Male,42451.45,Urban,Banner,Fashion,Website,3,2023-08-19 20:45:56.904436,0.174,0.0649
43,Female,63219.5,Urban,Text,Travel,Search Engine,7,2023-10-16 20:45:56.904436,0.1743,0.0435
37,Male,29129.96,Urban,Video,Food,Website,8,2023-08-04 20:45:56.904436,0.1377,0.1056
31,Other,26633.85,Urban,Video,Travel,Social Media,3,2023-09-07 20:45:56.904436,0.6127,0.0582
